study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,pE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW, rating,question,scale,anchors,reference,note,,,,,,,,,,,,,,,
Collins & Shanks (2006),2,,,40,mixed-design,contingency conditions were within-subject; probe questions (causal vs. frequentist counterfactual vs. single-event counterfactual question) between-subject,trial-by-trial,generative,Table 1,14,26,0,40,0.35,0.00,0.35,0.35,0.50,0.18,0.35,0.40,0.33,8.08,-2.25,0.25,0.32,49,"Prediction question: participants were asked whether the butterfly's DNA would exhibit a mutation and answer either ""YES, the mutation will occur"" or ""NO, the mutation will not occur.""; causal probe question: “To what extent does radiation cause mutations?”;
frequentist counterfactual probe question: ""How many out of 100 butterflies, none of which would show a mutation in the test if unradiated, do you estimate would show a mutation if radiated?”; single-event counterfactual question: “How likely would a butterfly, which would not show a mutation in the test if unradiated, be to show a mutation in the test if radiated?”
After the judgment scale, the participants were required to indicate how confident they were in the judgment",0-100,"judgment scale for frequentist counterfactual probe question and single-event counterfactual question: 0, 50 or 100; confident scale: ""Nor at all confident"", ""Mildly confident"" or ""Very confident""","Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225-232.",,,,,,,,,,,,,,,,
Collins & Shanks (2006),2,,,40,mixed-design,contingency conditions were within-subject; probe questions (causal vs. frequentist counterfactual vs. single-event counterfactual question) between-subject,trial-by-trial,generative,,20,20,20,20,0.50,0.50,0.00,0.00,0.50,0.50,0.10,0.10,0.08,-1.37,-1.36,0.09,0.00,32,"Prediction question: participants were asked whether the butterfly's DNA would exhibit a mutation and answer either ""YES, the mutation will occur"" or ""NO, the mutation will not occur.""; causal probe question: “To what extent does radiation cause mutations?”;
frequentist counterfactual probe question: ""How many out of 100 butterflies, none of which would show a mutation in the test if unradiated, do you estimate would show a mutation if radiated?”; single-event counterfactual question: “How likely would a butterfly, which would not show a mutation in the test if unradiated, be to show a mutation in the test if radiated?”
After the judgment scale, the participants were required to indicate how confident they were in the judgment",0-100,"judgment scale for frequentist counterfactual probe question and single-event counterfactual question: 0, 50 or 100; confident scale: ""Nor at all confident"", ""Mildly confident"" or ""Very confident""","Collins, D. J., & Shanks, D. R. (2006). Conformity to the power PC theory of causal induction depends on type of probe question. Quarterly Journal of Experimental Psychology, 59, 225-232.",,,,,,,,,,,,,,,,
Vallée-Tourangeu et al. (1998),1,24,2,22,within-subjects,"every participant had to work on six conditions: 2x3-design: contingency 0 vs 0.5 and basisrate 0.25, 0.50, 0.75",trial-by-trial,bidirectional,"Table 1, Appendix",5,15,5,15,0.25,0.25,0.00,0.00,0.50,0.25,0.05,0.05,0.03,-1.55,-0.61,-0.08,0.00,-20,"First, the participants were prompted to make a diagnosis by entering 1 for the disease or 0 for the absence of the disease; After 20 trials, the participants rated the causal role of the virus.",-100-100',positive rating = the virus caused disease; negative rating = the virus prevented disease ,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65-84.",,,,,,,,,,,,,,,,
Vallée-Tourangeu et al. (1998),1,24,2,22,within-subjects,"every participant had to work on six conditions: 2x3-design: contingency 0 vs 0.5 and basisrate 0.25, 0.50, 0.75",trial-by-trial,bidirectional,"Table 1, Appendix",10,10,10,10,0.50,0.50,0.00,0.00,0.50,0.50,0.10,0.10,0.08,-1.07,-1.07,0.09,0.00,1,"First, the participants were prompted to make a diagnosis by entering 1 for the disease or 0 for the absence of the disease; After 20 trials, the participants rated the causal role of the virus.",-100-100',positive rating = the virus caused disease; negative rating = the virus prevented disease ,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65-84.",,,,,,,,,,,,,,,,
Vallée-Tourangeu et al. (1998),1,24,2,22,within-subjects,"every participant had to work on six conditions: 2x3-design: contingency 0 vs 0.5 and basisrate 0.25, 0.50, 0.75",trial-by-trial,bidirectional,"Table 1, Appendix",15,5,15,5,0.75,0.75,0.00,0.00,0.50,0.75,0.14,0.15,0.17,-0.61,-1.55,0.24,0.00,30,"First, the participants were prompted to make a diagnosis by entering 1 for the disease or 0 for the absence of the disease; After 20 trials, the participants rated the causal role of the virus.",-100-100',positive rating = the virus caused disease; negative rating = the virus prevented disease ,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65-84.",,,,,,,,,,,,,,,,
Vallée-Tourangeu et al. (1998),1,24,2,22,within-subjects,"every participant had to work on six conditions: 2x3-design: contingency 0 vs 0.5 and basisrate 0.25, 0.50, 0.75",trial-by-trial,bidirectional,"Table 1, Appendix",10,10,0,20,0.50,0.00,0.50,0.50,0.50,0.25,0.50,0.57,0.47,6.10,-2.04,0.44,0.46,19,"First, the participants were prompted to make a diagnosis by entering 1 for the disease or 0 for the absence of the disease; After 20 trials, the participants rated the causal role of the virus.",-100-100',positive rating = the virus caused disease; negative rating = the virus prevented disease ,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65-84.",,,,,,,,,,,,,,,,
Vallée-Tourangeu et al. (1998),1,24,2,22,within-subjects,"every participant had to work on six conditions: 2x3-design: contingency 0 vs 0.5 and basisrate 0.25, 0.50, 0.75",trial-by-trial,bidirectional,"Table 1, Appendix",15,5,5,15,0.75,0.25,0.50,0.67,0.50,0.50,0.55,0.62,0.56,4.31,-2.43,0.57,0.50,55,"First, the participants were prompted to make a diagnosis by entering 1 for the disease or 0 for the absence of the disease; After 20 trials, the participants rated the causal role of the virus.",-100-100',positive rating = the virus caused disease; negative rating = the virus prevented disease ,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65-84.",,,,,,,,,,,,,,,,
Vallée-Tourangeu et al. (1998),1,24,2,22,within-subjects,"every participant had to work on six conditions: 2x3-design: contingency 0 vs 0.5 and basisrate 0.25, 0.50, 0.75",trial-by-trial,bidirectional,"Table 1, Appendix",20,0,10,10,1.00,0.50,0.50,1.00,0.50,0.75,0.60,0.68,0.72,6.80,-3.03,0.68,0.54,94,"First, the participants were prompted to make a diagnosis by entering 1 for the disease or 0 for the absence of the disease; After 20 trials, the participants rated the causal role of the virus.",-100-100',positive rating = the virus caused disease; negative rating = the virus prevented disease ,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65-84.",,,,,,,,,,,,,,,,
Vallée-Tourangeu et al. (1998),2,24,1,23,within-subjects,"every participant had to work on six conditions: 2x3-design: contingency 0 vs -0.5 and basisrate 0.25, 0.50, 0.75",trial-by-trial,bidirectional,"Table 1, Appendix",5,15,5,15,0.25,0.25,0.00,0.00,0.50,0.25,0.05,0.05,0.03,-1.55,-0.62,-0.08,0.00,-6,"First, the participants were prompted to make a diagnosis by entering 1 for the disease or 0 for the absence of the disease; After 20 trials, the participants rated the causal role of the virus.",-100-100',positive rating = the virus caused disease; negative rating = the virus prevented disease ,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65-84.",,,,,,,,,,,,,,,,
Vallée-Tourangeu et al. (1998),2,24,1,23,within-subjects,"every participant had to work on six conditions: 2x3-design: contingency 0 vs -0.5 and basisrate 0.25, 0.50, 0.75",trial-by-trial,bidirectional,"Table 1, Appendix",10,10,10,10,0.50,0.50,0.00,0.00,0.50,0.50,0.10,0.10,0.08,-1.07,-1.07,0.09,0.00,16,"First, the participants were prompted to make a diagnosis by entering 1 for the disease or 0 for the absence of the disease; After 20 trials, the participants rated the causal role of the virus.",-100-100',positive rating = the virus caused disease; negative rating = the virus prevented disease ,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65-84.",,,,,,,,,,,,,,,,
Vallée-Tourangeu et al. (1998),2,24,1,23,within-subjects,"every participant had to work on six conditions: 2x3-design: contingency 0 vs - 0.5 and basisrate 0.25, 0.50, 0.75",trial-by-trial,bidirectional,"Table 1, Appendix",15,5,15,5,0.75,0.75,0.00,0.00,0.50,0.75,0.14,0.15,0.17,-0.62,-1.55,0.24,0.00,39,"First, the participants were prompted to make a diagnosis by entering 1 for the disease or 0 for the absence of the disease; After 20 trials, the participants rated the causal role of the virus.",-100 - 100,positive rating = the virus caused disease; negative rating = the virus prevented disease ,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65-84.",,,,,,,,,,,,,,,,
Vallée-Tourangeu et al. (1998),2,24,1,23,within-subjects,"every participant had to work on six conditions: 2x3-design: contingency 0 vs - 0.5 and basisrate 0.25, 0.50, 0.75",trial-by-trial,bidirectional,"Table 1, Appendix",0,20,10,10,0.00,0.50,-0.50,-1.00,0.50,0.25,-0.41,-0.47,-0.73,-3.04,6.80,-0.65,-0.46,-73,"First, the participants were prompted to make a diagnosis by entering 1 for the disease or 0 for the absence of the disease; After 20 trials, the participants rated the causal role of the virus.",-100 - 100,positive rating = the virus caused disease; negative rating = the virus prevented disease ,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65-84.",,,,,,,,,,,,,,,,
Vallée-Tourangeu et al. (1998),2,24,1,23,within-subjects,"every participant had to work on six conditions: 2x3-design: contingency 0 vs - 0.5 and basisrate 0.25, 0.50, 0.75",trial-by-trial,bidirectional,"Table 1, Appendix",5,15,15,5,0.25,0.75,-0.50,-0.67,0.50,0.50,-0.36,-0.42,-0.51,-2.43,4.31,-0.43,-0.50,-28,"First, the participants were prompted to make a diagnosis by entering 1 for the disease or 0 for the absence of the disease; After 20 trials, the participants rated the causal role of the virus.",-100 - 100,positive rating = the virus caused disease; negative rating = the virus prevented disease ,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65-84.",,,,,,,,,,,,,,,,
Vallée-Tourangeu et al. (1998),2,24,1,23,within-subjects,"every participant had to work on six conditions: 2x3-design: contingency 0 vs - 0.5 and basisrate 0.25, 0.50, 0.75",trial-by-trial,bidirectional,"Table 1, Appendix",10,10,20,0,0.50,1.00,-0.50,-0.50,0.50,0.75,-0.31,-0.37,-0.39,-2.04,6.10,-0.24,-0.54,-15,"First, the participants were prompted to make a diagnosis by entering 1 for the disease or 0 for the absence of the disease; After 20 trials, the participants rated the causal role of the virus.",-100 - 100,positive rating = the virus caused disease; negative rating = the virus prevented disease ,"Vallée-Tourangeau, F., Murphy, R. A., Drew, S., & Baker, A. G. (1998). Judging the importance of constant and variable candidate causes: A test of the power PC theory. Quarterly Journal of Experimental Psychology, 51A, 65-84.",,,,,,,,,,,,,,,,
White (2003),2,,,40,within-subjects,3 (pCI; .17 vs. .33 vs. .50) x 2 (high vs. low occurrence rate) analysis of variance (ANOVA) with repeated measures on both factors and 2 (deltaP; .5 vs. .25) x 2 (high vs. low occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,Table 4,4,0,10,10,1.00,0.50,0.50,1.00,0.17,0.58,0.60,0.68,0.72,1.61,-1.61,0.26,0.54,40,All participants had to judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,,,,,,,,,,
White (2003),2,,,40,within-subjects,3 (pCI; .17 vs. .33 vs. .50) x 2 (high vs. low occurrence rate) analysis of variance (ANOVA) with repeated measures on both factors and 2 (deltaP; .5 vs. .25) x 2 (high vs. low occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,Table 4,10,10,0,4,0.50,0.00,0.50,0.50,0.83,0.42,0.50,0.57,0.47,1.07,-1.42,0.25,0.46,47,All participants had to judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,,,,,,,,,,
White (2003),2,,,40,within-subjects,3 (pCI; .17 vs. .33 vs. .50) x 2 (high vs. low occurrence rate) analysis of variance (ANOVA) with repeated measures on both factors and 2 (deltaP; .5 vs. .25) x 2 (high vs. low occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,Table 4,8,0,8,8,1.00,0.50,0.50,1.00,0.33,0.67,0.60,0.68,0.72,2.98,-2.20,0.50,0.54,60,All participants had to judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,,,,,,,,,,
White (2003),2,,,40,within-subjects,3 (pCI; .17 vs. .33 vs. .50) x 2 (high vs. low occurrence rate) analysis of variance (ANOVA) with repeated measures on both factors and 2 (deltaP; .5 vs. .25) x 2 (high vs. low occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,Table 4,8,8,0,8,0.50,0.00,0.50,0.50,0.67,0.33,0.50,0.57,0.47,2.34,-1.63,0.34,0.46,47,All participants had to judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,,,,,,,,,,
White (2003),2,,,40,within-subjects,3 (pCI; .17 vs. .33 vs. .50) x 2 (high vs. low occurrence rate) analysis of variance (ANOVA) with repeated measures on both factors and 2 (deltaP; .5 vs. .25) x 2 (high vs. low occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,Table 4,12,0,6,6,1.00,0.50,0.50,1.00,0.50,0.75,0.60,0.68,0.72,3.84,-2.56,0.68,0.54,74,All participants had to judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,,,,,,,,,,
White (2003),2,,,40,within-subjects,3 (pCI; .17 vs. .33 vs. .50) x 2 (high vs. low occurrence rate) analysis of variance (ANOVA) with repeated measures on both factors and 2 (deltaP; .5 vs. .25) x 2 (high vs. low occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,Table 4,6,6,0,12,0.50,0.00,0.50,0.50,0.50,0.25,0.50,0.57,0.47,3.14,-1.62,0.44,0.46,55,All participants had to judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,,,,,,,,,,
White (2003),2,,,40,within-subjects,3 (pCI; .17 vs. .33 vs. .50) x 2 (high vs. low occurrence rate) analysis of variance (ANOVA) with repeated measures on both factors and 2 (deltaP; .5 vs. .25) x 2 (high vs. low occurrence rate) ANOVA with repeated measures on both factors.,trial-by-trial,generative,Table 4,12,4,4,4,0.75,0.50,0.25,0.50,0.67,0.67,0.35,0.39,0.40,0.54,-1.84,0.49,0.26,61,All participants had to judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,,,,,,,,,,
White (2003),2,,,40,within-subjects,3 (pCI; .17 vs. .33 vs. .50) x 2 (high vs. low occurrence rate) analysis of variance (ANOVA) with repeated measures on both factors and 2 (deltaP; .5 vs. .25) x 2 (high vs. low occurrence rate) ANOVA with repeated measures on both factors,trial-by-trial,generative,Table 4,4,4,4,12,0.50,0.25,0.25,0.33,0.33,0.33,0.30,0.34,0.30,0.14,-1.20,0.31,0.24,43,All participants had to judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,,,,,,,,,,
White (2003),6,,,43,within-subjects,"2 (pCI; -.17 vs. .17) x 2 (low vs. high occurrence rate) ANOVA with repeated measures on both factors, while holding deltaP constant at zero and constant the values of other variables.",trial-by-trial,generative,Table 11,6,12,2,4,0.33,0.33,0.00,0.00,0.75,0.33,0.06,0.07,0.05,-1.16,-0.50,-0.10,0.00,31,All participants had to judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,,,,,,,,,,
White (2003),6,,,43,within-subjects,"2 (pCI; -.17 vs. .17) x 2 (low vs. high occurrence rate) ANOVA with repeated measures on both factors, while holding deltaP constant at zero and constant the values of other variables.",trial-by-trial,generative,Table 11,4,2,12,6,0.67,0.67,0.00,0.00,0.25,0.67,0.13,0.14,0.13,-0.48,-0.93,-0.04,0.00,35,All participants had to judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,,,,,,,,,,
White (2003),6,,,43,within-subjects,"2 (pCI; -.17 vs. .17) x 2 (low vs. high occurrence rate) ANOVA with repeated measures on both factors, while holding deltaP constant at zero and constant the values of other variables.",trial-by-trial,generative,Table 11,2,4,6,12,0.33,0.33,0.00,0.00,0.25,0.33,0.06,0.07,0.05,-0.93,-0.48,0.10,0.00,29,All participants had to judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,,,,,,,,,,
White (2003),6,,,43,within-subjects,"2 (pCI; -.17 vs. .17) x 2 (low vs. high occurrence rate) ANOVA with repeated measures on both factors, while holding deltaP constant at zero and constant the values of other variables.",trial-by-trial,generative,Table 11,12,6,4,2,0.67,0.67,0.00,0.00,0.75,0.67,0.13,0.14,0.13,-0.50,-1.16,0.36,0.00,54,All participants had to judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,8,0,0,8,1.00,0.00,1.00,1.00,0.50,0.50,1.00,1.15,0.93,8.02,-2.20,1.00,1.00,89,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,8,0,2,6,1.00,0.25,0.75,1.00,0.50,0.63,0.80,0.91,0.83,4.50,-2.20,0.84,0.78,77,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,6,2,0,8,0.75,0.00,0.75,0.75,0.50,0.38,0.75,0.86,0.70,4.21,-1.77,0.74,0.72,69,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,8,0,4,4,1.00,0.50,0.50,1.00,0.50,0.75,0.60,0.68,0.72,2.48,-2.20,0.68,0.54,71,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,6,2,2,6,0.75,0.25,0.50,0.67,0.50,0.50,0.55,0.62,0.56,1.59,-1.66,0.57,0.50,54,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,4,4,0,8,0.50,0.00,0.50,0.50,0.50,0.25,0.50,0.57,0.47,1.79,-1.31,0.44,0.46,57,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,8,0,6,2,1.00,0.75,0.25,1.00,0.50,0.88,0.39,0.44,0.59,1.17,-2.21,0.52,0.28,58,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,6,2,4,4,0.75,0.50,0.25,0.50,0.50,0.63,0.35,0.39,0.40,0.38,-1.48,0.40,0.26,47,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,4,4,2,6,0.50,0.25,0.25,0.33,0.50,0.38,0.30,0.34,0.30,0.00,-1.08,0.27,0.24,46,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,2,6,0,8,0.25,0.00,0.25,0.25,0.50,0.13,0.25,0.29,0.23,-0.12,-0.72,0.11,0.22,34,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
Buehner et al. (2003) (generative component),1,,,52,mixed-design,"contingency conditions varied within-subjects, whereas generative versus preventive instructions differed between subjects.",trial-by-trial,generative,Table 2,8,0,8,0,1.00,1.00,0.00,NA,0.50,1.00,0.19,0.21,0.40,0.31,-2.21,0.37,0.00,41,Participants were asked to rate how strongly they thought the particular rays cause mutation,0-100,"0 = the ray does not cause mutation at all, 100 = the rays cause mutation every time","Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119-1140.
1119-1140.",,,,,,,,,,,,,,,,
