id,study,experiment,n,framing,N_11,N_10,N_01,N_00,pEC,pEnoC,deltaP,power,sample_direction,rating,reference
95,Buehner et al. (2003),1,52,generative,6,2,4,4,0.75,0.5,0.25,0.5,generative,47.06,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
96,Buehner et al. (2003),1,52,generative,4,4,2,6,0.5,0.25,0.25,0.3333333333333333,generative,45.71,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
97,Buehner et al. (2003),1,52,generative,2,6,0,8,0.25,0,0.25,0.25,generative,33.69,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
98,Buehner et al. (2003),1,52,generative,8,0,8,0,1,1,0,0,zero,41.1,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
99,Buehner et al. (2003),1,52,generative,6,2,6,2,0.75,0.75,0,0,zero,42.62,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
100,Buehner et al. (2003),1,52,generative,4,4,4,4,0.5,0.5,0,0,zero,36.6,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
101,Buehner et al. (2003),1,52,generative,2,6,2,6,0.25,0.25,0,0,zero,28.62,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
102,Buehner et al. (2003),1,52,generative,0,8,0,8,0,0,0,0,zero,9.46,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
103,Buehner et al. (2003),2,51,bidirectional,36,0,18,18,1,0.5,0.5,1,generative,85.7,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
104,Buehner et al. (2003),2,51,bidirectional,30,6,12,24,0.8333333333333334,0.3333333333333333,0.5,0.7499999999999999,generative,67.8,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
105,Buehner et al. (2003),2,51,bidirectional,27,9,0,36,0.75,0,0.75,0.75,generative,74.4,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
106,Buehner et al. (2003),2,51,bidirectional,18,18,0,36,0.5,0,0.5,0.5,generative,48.5,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
107,Buehner et al. (2003),2,51,bidirectional,6,30,24,12,0.16666666666666666,0.6666666666666666,-0.5,0.75,preventive,-59.7,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
108,Buehner et al. (2003),2,51,bidirectional,9,27,36,0,0.25,1,-0.75,0.75,preventive,-66.5,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
109,Buehner et al. (2003),2,51,bidirectional,18,18,36,0,0.5,1,-0.5,0.5,preventive,-44.5,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
110,Buehner et al. (2003),2,51,bidirectional,12,24,12,24,0.3333333333333333,0.3333333333333333,0,0,zero,-0.5,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
111,Buehner et al. (2003),2,51,bidirectional,24,12,24,12,0.6666666666666666,0.6666666666666666,0,0,zero,0.7,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
112,Buehner et al. (2003),2,51,bidirectional,0,36,18,18,0,0.5,-0.5,1,preventive,-85.9,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
113,Buehner et al. (2003),3,31,bidirectional,12,0,6,6,1,0.5,0.5,1,generative,67.6,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
114,Buehner et al. (2003),3,31,bidirectional,10,2,4,8,0.8333333333333334,0.3333333333333333,0.5,0.7499999999999999,generative,48.1,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
115,Buehner et al. (2003),3,31,bidirectional,9,3,0,12,0.75,0,0.75,0.75,generative,59.2,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
116,Buehner et al. (2003),3,31,bidirectional,6,6,0,12,0.5,0,0.5,0.5,generative,20.8,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
117,Buehner et al. (2003),3,31,bidirectional,2,10,8,4,0.16666666666666666,0.6666666666666666,-0.5,0.75,preventive,-49.4,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
118,Buehner et al. (2003),3,31,bidirectional,3,9,12,0,0.25,1,-0.75,0.75,preventive,-53.4,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
119,Buehner et al. (2003),3,31,bidirectional,6,6,12,0,0.5,1,-0.5,0.5,preventive,-22.1,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
120,Buehner et al. (2003),3,31,bidirectional,4,8,4,8,0.3333333333333333,0.3333333333333333,0,0,zero,-12.3,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
121,Buehner et al. (2003),3,31,bidirectional,8,4,8,4,0.6666666666666666,0.6666666666666666,0,0,zero,10.8,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
122,Buehner et al. (2003),3,31,bidirectional,0,12,6,6,0,0.5,-0.5,1,preventive,-73.2,"Buehner, M. J., Cheng, P. W., & Clifford, D. (2003). From covariation to causation: A test of the assumption of causal power. Journal of Experimental Psychology: Learning, Memory, & Cognition, 29, 1119–1140."
123,Liljeholm & Cheng (2009),1,52,generative,13,3,12,4,0.8125,0.75,0.0625,0.25,generative,12.23,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
124,Liljeholm & Cheng (2009),1,52,preventive,3,13,4,12,0.1875,0.25,-0.0625,0.25,preventive,-13.58,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
125,Liljeholm & Cheng (2009),1,52,generative,7,9,4,12,0.4375,0.25,0.1875,0.25,generative,19.12,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
126,Liljeholm & Cheng (2009),1,52,preventive,9,7,12,4,0.5625,0.75,-0.1875,0.25,preventive,-16.73,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
127,Liljeholm & Cheng (2009),1,52,generative,4,12,0,16,0.25,0,0.25,0.25,generative,20.15,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
128,Liljeholm & Cheng (2009),1,52,preventive,12,4,16,0,0.75,1,-0.25,0.25,preventive,-15.81,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
129,Liljeholm & Cheng (2009),1,52,generative,52,12,48,16,0.8125,0.75,0.0625,0.25,generative,8.39,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
130,Liljeholm & Cheng (2009),1,52,preventive,12,52,16,48,0.1875,0.25,-0.0625,0.25,preventive,-23.96,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
131,Liljeholm & Cheng (2009),1,52,generative,28,36,16,48,0.4375,0.25,0.1875,0.25,generative,20.73,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
132,Liljeholm & Cheng (2009),1,52,preventive,36,28,48,16,0.5625,0.75,-0.1875,0.25,preventive,-27.15,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
133,Liljeholm & Cheng (2009),1,52,generative,16,48,0,64,0.25,0,0.25,0.25,generative,21,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
134,Liljeholm & Cheng (2009),1,52,preventive,48,16,64,0,0.75,1,-0.25,0.25,preventive,-30.58,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
135,Liljeholm & Cheng (2009),1,52,generative,16,0,12,4,1,0.75,0.25,1,generative,46.04,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
136,Liljeholm & Cheng (2009),1,52,preventive,0,16,4,12,0,0.25,-0.25,1,preventive,-65.5,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
137,Liljeholm & Cheng (2009),1,52,generative,16,0,4,12,1,0.25,0.75,1,generative,80.96,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
138,Liljeholm & Cheng (2009),1,52,preventive,0,16,12,4,0,0.75,-0.75,1,preventive,-87.5,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
139,Liljeholm & Cheng (2009),1,52,generative,16,0,0,16,1,0,1,1,generative,90.96,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
140,Liljeholm & Cheng (2009),1,52,preventive,0,16,16,0,0,1,-1,1,preventive,-93.27,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
141,Liljeholm & Cheng (2009),1,52,generative,64,0,48,16,1,0.75,0.25,1,generative,53.31,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
142,Liljeholm & Cheng (2009),1,52,preventive,0,64,16,48,0,0.25,-0.25,1,preventive,-79.62,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
143,Liljeholm & Cheng (2009),1,52,generative,64,0,16,48,1,0.25,0.75,1,generative,83.65,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
144,Liljeholm & Cheng (2009),1,52,preventive,0,64,48,16,0,0.75,-0.75,1,preventive,-92.5,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
145,Liljeholm & Cheng (2009),1,52,generative,64,0,0,64,1,0,1,1,generative,98.65,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
146,Liljeholm & Cheng (2009),1,52,preventive,0,64,64,0,0,1,-1,1,preventive,-98.46,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
147,Liljeholm & Cheng (2009),2,38,generative,13,3,12,4,0.8125,0.75,0.0625,0.25,generative,8.16,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
148,Liljeholm & Cheng (2009),2,38,preventive,3,13,4,12,0.1875,0.25,-0.0625,0.25,preventive,-14.47,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
149,Liljeholm & Cheng (2009),2,38,generative,7,9,4,12,0.4375,0.25,0.1875,0.25,generative,14.37,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
150,Liljeholm & Cheng (2009),2,38,preventive,9,7,12,4,0.5625,0.75,-0.1875,0.25,preventive,-15.11,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
151,Liljeholm & Cheng (2009),2,38,generative,4,12,0,16,0.25,0,0.25,0.25,generative,21.84,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
152,Liljeholm & Cheng (2009),2,38,preventive,12,4,16,0,0.75,1,-0.25,0.25,preventive,-19.05,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
153,Liljeholm & Cheng (2009),2,38,generative,52,12,48,16,0.8125,0.75,0.0625,0.25,generative,11.74,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
154,Liljeholm & Cheng (2009),2,38,preventive,12,52,16,48,0.1875,0.25,-0.0625,0.25,preventive,-14,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
155,Liljeholm & Cheng (2009),2,38,generative,28,36,16,48,0.4375,0.25,0.1875,0.25,generative,24.68,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
156,Liljeholm & Cheng (2009),2,38,preventive,36,28,48,16,0.5625,0.75,-0.1875,0.25,preventive,-21.11,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
157,Liljeholm & Cheng (2009),2,38,generative,16,48,0,64,0.25,0,0.25,0.25,generative,22.89,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
158,Liljeholm & Cheng (2009),2,38,preventive,48,16,64,0,0.75,1,-0.25,0.25,preventive,-23.05,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
159,Liljeholm & Cheng (2009),2,38,generative,16,0,12,4,1,0.75,0.25,1,generative,45.26,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
160,Liljeholm & Cheng (2009),2,38,preventive,0,16,4,12,0,0.25,-0.25,1,preventive,-64.47,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
161,Liljeholm & Cheng (2009),2,38,generative,16,0,4,12,1,0.25,0.75,1,generative,80.53,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
162,Liljeholm & Cheng (2009),2,38,preventive,0,16,12,4,0,0.75,-0.75,1,preventive,-82.11,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
163,Liljeholm & Cheng (2009),2,38,generative,16,0,0,16,1,0,1,1,generative,97.37,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
164,Liljeholm & Cheng (2009),2,38,preventive,0,16,16,0,0,1,-1,1,preventive,-93.68,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
165,Liljeholm & Cheng (2009),2,38,generative,64,0,48,16,1,0.75,0.25,1,generative,56.05,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
166,Liljeholm & Cheng (2009),2,38,preventive,0,64,16,48,0,0.25,-0.25,1,preventive,-79.74,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
167,Liljeholm & Cheng (2009),2,38,generative,64,0,16,48,1,0.25,0.75,1,generative,92.11,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
168,Liljeholm & Cheng (2009),2,38,preventive,0,64,48,16,0,0.75,-0.75,1,preventive,-96.05,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
169,Liljeholm & Cheng (2009),2,38,generative,64,0,0,64,1,0,1,1,generative,100,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
170,Liljeholm & Cheng (2009),2,38,preventive,0,64,64,0,0,1,-1,1,preventive,-98.63,"Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157-172."
171,White (2003b),1,40,bidirectional,4,4,4,0,0.5,1,-0.5,0.5,preventive,-11.3,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
172,White (2003b),1,40,bidirectional,4,4,8,0,0.5,1,-0.5,0.5,preventive,-28.85,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
173,White (2003b),1,40,bidirectional,4,8,4,0,0.3333333333333333,1,-0.6666666666666667,0.6666666666666667,preventive,-27.87,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
174,White (2003b),1,40,bidirectional,4,8,8,0,0.3333333333333333,1,-0.6666666666666667,0.6666666666666667,preventive,-29.47,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
175,White (2003b),1,40,bidirectional,8,4,4,0,0.6666666666666666,1,-0.33333333333333337,0.33333333333333337,preventive,9.95,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
176,White (2003b),1,40,bidirectional,8,4,8,0,0.6666666666666666,1,-0.33333333333333337,0.33333333333333337,preventive,-0.45,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
177,White (2003b),1,40,bidirectional,8,8,4,0,0.5,1,-0.5,0.5,preventive,-0.35,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
178,White (2003b),1,40,bidirectional,8,8,8,0,0.5,1,-0.5,0.5,preventive,-9.47,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
179,White (2003b),1,40,bidirectional,4,4,0,4,0.5,0,0.5,0.5,generative,27.92,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
180,White (2003b),1,40,bidirectional,4,4,0,8,0.5,0,0.5,0.5,generative,27.75,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
181,White (2003b),1,40,bidirectional,4,8,0,4,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,generative,2.45,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
182,White (2003b),1,40,bidirectional,4,8,0,8,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,generative,7.62,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
183,White (2003b),1,40,bidirectional,8,4,0,4,0.6666666666666666,0,0.6666666666666666,0.6666666666666666,generative,55.22,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
184,White (2003b),1,40,bidirectional,8,4,0,8,0.6666666666666666,0,0.6666666666666666,0.6666666666666666,generative,49.6,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
185,White (2003b),1,40,bidirectional,8,8,0,4,0.5,0,0.5,0.5,generative,23.7,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
186,White (2003b),1,40,bidirectional,8,8,0,8,0.5,0,0.5,0.5,generative,24.42,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
187,White (2003b),1,40,bidirectional,4,0,4,4,1,0.5,0.5,1,generative,35.57,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
188,White (2003b),1,40,bidirectional,4,0,4,8,1,0.3333333333333333,0.6666666666666667,1,generative,40.8,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
189,White (2003b),1,40,bidirectional,4,0,8,4,1,0.6666666666666666,0.33333333333333337,1,generative,17.3,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
190,White (2003b),1,40,bidirectional,4,0,8,8,1,0.5,0.5,1,generative,18.7,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
191,White (2003b),1,40,bidirectional,8,0,4,4,1,0.5,0.5,1,generative,48.45,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
192,White (2003b),1,40,bidirectional,8,0,4,8,1,0.3333333333333333,0.6666666666666667,1,generative,61.2,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
193,White (2003b),1,40,bidirectional,8,0,8,4,1,0.6666666666666666,0.33333333333333337,1,generative,37.27,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
194,White (2003b),1,40,bidirectional,8,0,8,8,1,0.5,0.5,1,generative,39.25,"White, P. A. (2003). Causal judgement as evaluation of evidence: The use of confirmatory and disconfirmatory information. The Quarterly Journal of Experimental Psychology Section A, 56(3), 491-513."
