study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,PE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW,rating,question,scale,anchors,reference,note,comments,,,,comments,
White (2003),4,,,42,within-subjects,"2 (frequency; 24 vs. 48 instances) x 2 (pCI; .17 vs. .50) x 2 (high vs. low occurrence rate)
within-subjects ANOVA",simultaneous,generative,"Table 7,8",6,6,0,12,0.50,0.00,0.50,,0.50,0.25,,,,,,,,59.62,Please rate the likelihood of this statement being right for patient [initials]: E263 causes the patient’s allergic reactions.,0-100,0 =  definitely not right; 100 = definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),4,,,42,within-subjects,"2 (frequency; 24 vs. 48 instances) x 2 (pCI; .17 vs. .50) x 2 (high vs. low occurrence rate)
within-subjects ANOVA",simultaneous,generative,"Table 7,8",12,12,0,24,0.5,0,0.5,,0.5,0.25,,,,,,,,58.71,Please rate the likelihood of this statement being right for patient [initials]: E263 causes the patient’s allergic reactions.,0-100,0 =  definitely not right; 100 = definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),5,,,39,within-subjects,4 (pCI; -.2 vs. .1 vs. .4 vs. .7) x 2 (p(C); .2 vs. .8) within-subjects ANOVA,simultaneous,generative,"Table 9, 10",8,0,24,8,1.00,0.75,0.25,,0.2,0.8,,,,,,,,26.23,Please rate the extent to which E263 causes the patient’s allergic reactions.,0-100,0 = E263 did not cause the patient’s allergic reactions at all; 100 = E263 was a very strong cause of the patient’s allergic reactions.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),5,,,39,within-subjects,4 (pCI; -.2 vs. .1 vs. .4 vs. .7) x 2 (p(C); .2 vs. .8) within-subjects ANOVA,simultaneous,generative,"Table 9, 10",8,24,0,8,0.25,0,0.25,,0.8,0.2,,,,,,,,27.08,Please rate the extent to which E263 causes the patient’s allergic reactions.,0-100,0 = E263 did not cause the patient’s allergic reactions at all; 100 = E263 was a very strong cause of the patient’s allergic reactions.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),5,,,39,within-subjects,4 (pCI; -.2 vs. .1 vs. .4 vs. .7) x 2 (p(C); .2 vs. .8) within-subjects ANOVA,simultaneous,generative,"Table 9, 10",6,2,16,16,0.75,0.5,0.25,,0.2,0.55,,,,,,,,28.49,Please rate the extent to which E263 causes the patient’s allergic reactions.,0-100,0 = E263 did not cause the patient’s allergic reactions at all; 100 = E263 was a very strong cause of the patient’s allergic reactions.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),5,,,39,within-subjects,4 (pCI; -.2 vs. .1 vs. .4 vs. .7) x 2 (p(C); .2 vs. .8) within-subjects ANOVA,simultaneous,generative,"Table 9, 10",16,16,2,6,0.5,0.25,0.25,,0.8,0.45,,,,,,,,37.38,Please rate the extent to which E263 causes the patient’s allergic reactions.,0-100,0 = E263 did not cause the patient’s allergic reactions at all; 100 = E263 was a very strong cause of the patient’s allergic reactions.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),5,,,39,within-subjects,4 (pCI; -.2 vs. .1 vs. .4 vs. .7) x 2 (p(C); .2 vs. .8) within-subjects ANOVA,simultaneous,generative,"Table 9, 10",4,4,8,24,0.5,0.25,0.25,,0.2,0.3,,,,,,,,37.21,Please rate the extent to which E263 causes the patient’s allergic reactions.,0-100,0 = E263 did not cause the patient’s allergic reactions at all; 100 = E263 was a very strong cause of the patient’s allergic reactions.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),5,,,39,within-subjects,4 (pCI; -.2 vs. .1 vs. .4 vs. .7) x 2 (p(C); .2 vs. .8) within-subjects ANOVA,simultaneous,generative,"Table 9, 10",24,8,4,4,0.75,0.5,0.25,,0.8,0.7,,,,,,,,53.64,Please rate the extent to which E263 causes the patient’s allergic reactions.,0-100,0 = E263 did not cause the patient’s allergic reactions at all; 100 = E263 was a very strong cause of the patient’s allergic reactions.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),5,,,39,within-subjects,4 (pCI; -.2 vs. .1 vs. .4 vs. .7) x 2 (p(C); .2 vs. .8) within-subjects ANOVA,simultaneous,generative,"Table 9, 10",2,6,0,32,0.25,0,0.25,,0.2,0.05,,,,,,,,41.05,Please rate the extent to which E263 causes the patient’s allergic reactions.,0-100,0 = E263 did not cause the patient’s allergic reactions at all; 100 = E263 was a very strong cause of the patient’s allergic reactions.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),5,,,39,within-subjects,4 (pCI; -.2 vs. .1 vs. .4 vs. .7) x 2 (p(C); .2 vs. .8) within-subjects ANOVA,simultaneous,generative,"Table 9, 10",32,0,6,2,1,0.75,0.25,,0.8,0.95,,,,,,,,70.33,Please rate the extent to which E263 causes the patient’s allergic reactions.,0-101,0 = E263 did not cause the patient’s allergic reactions at all; 100 = E263 was a very strong cause of the patient’s allergic reactions.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),6,,,43,within-subjects,"2 (pCI; -.17 vs. .17) x 2 (low vs. high occurrence rate) ANOVA with repeated measures on both factors, while holding deltaP constant at zero and constant the values of other variables.",trial-by-trial,generative,"Table 11, 12",6,12,2,4,0.33,0.33,0.00,0.00,0.75,0.33,0.06,0.07,0.05,-1.16,-0.50,-0.10,0.00,31,Please judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),6,,,43,within-subjects,"2 (pCI; -.17 vs. .17) x 2 (low vs. high occurrence rate) ANOVA with repeated measures on both factors, while holding deltaP constant at zero and constant the values of other variables.",trial-by-trial,generative,"Table 11, 12",4,2,12,6,0.67,0.67,0.00,0.00,0.25,0.67,0.13,0.14,0.13,-0.48,-0.93,-0.04,0.00,35,Please judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),6,,,43,within-subjects,"2 (pCI; -.17 vs. .17) x 2 (low vs. high occurrence rate) ANOVA with repeated measures on both factors, while holding deltaP constant at zero and constant the values of other variables.",trial-by-trial,generative,"Table 11, 12",2,4,6,12,0.33,0.33,0.00,0.00,0.25,0.33,0.06,0.07,0.05,-0.93,-0.48,0.10,0.00,29,Please judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
White (2003),6,,,43,within-subjects,"2 (pCI; -.17 vs. .17) x 2 (low vs. high occurrence rate) ANOVA with repeated measures on both factors, while holding deltaP constant at zero and constant the values of other variables.",trial-by-trial,generative,"Table 11, 12",12,6,4,2,0.67,0.67,0.00,0.00,0.75,0.67,0.13,0.14,0.13,-0.50,-1.16,0.36,0.00,54,Please judge the extent to which they agreed with the statement that manganese trioxide causes allergic reactions in the patient.,0-100,0 = means that the statement is definitely not right; 100 = the statement is definitely right.,"White, P. A. (2003). Making Causal Judgments From the Proportion of Confirming Instances: The pCI Rule. Journal of Experimental Psychology: Learning, Memory, and Cognition, 29( 4), 710–727",,,,,,,
