study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,PE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW,rating,question,scale,anchors,reference,note,comments,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,6,3,0,12,,,0.67,,,,,,,,,,,40.51,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,6,6,0,6,,,0.5,,,,,,,,,,,22.32,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,6,6,0,12,,,0.5,,,,,,,,,,,16.44,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,12,3,0,6,,,0.8,,,,,,,,,,,71.38,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,12,3,0,12,,,0.8,,,,,,,,,,,69.38,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,12,6,0,6,,,0.67,,,,,,,,,,,39.38,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,12,6,0,12,,,0.67,,,,,,,,,,,44.38,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,6,0,3,6,,,0.67,,,,,,,,,,,43.69,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,6,0,3,12,,,0.8,,,,,,,,,,,60.51,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,6,0,6,6,,,0.5,,,,,,,,,,,28.97,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,6,0,6,12,,,0.67,,,,,,,,,,,37.21,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,12,0,3,6,,,0.67,,,,,,,,,,,60.95,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,12,0,3,12,,,0.8,,,,,,,,,,,72.41,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,12,0,6,6,,,0.5,,,,,,,,,,,40.82,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,12,0,6,12,,,0.67,,,,,,,,,,,52.74,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,0,3,3,6,,,-0.33,,,,,,,,,,,-26.51,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,0,3,3,12,,,-0.2,,,,,,,,,,,-22.26,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,0,3,6,6,,,-0.5,,,,,,,,,,,-36.51,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,0,3,6,12,,,-0.33,,,,,,,,,,,-24.54,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,0,6,3,6,,,-0.33,,,,,,,,,,,-41.18,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,0,6,3,12,,,-0.2,,,,,,,,,,,-32.05,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,0,6,6,6,,,-0.5,,,,,,,,,,,-41.91,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
White (2003),2,40,1,39,within-subjects,"32 judgment problems, which were divided into four sets of eight tasks each. Cell frequencies: a and d with 6 and 12; b and c with 3 and 6 ",simultaneous,bidirectional,Table 4,0,6,6,12,,,-0.33,,,,,,,,,,,-33.13,"""To what extent did this chemical affect the occurrence of red spots in the brunnera plants?“",-100 - + 100',-100 = the chemical very stongly prevented the plants from having red spots; 0 = the chemical had no effect either way; 100 = the chemical very strongly caused the plants to have red spots,"White, P. A. (2003). Causal judgment as evaluation of evidence: the use of confirmation and disconfirmatory information. The Quarterly journal of experimental psychology. A, Human experimental psychology, 56(3), 491–513.",replication experiment 1,,
