study,experiment,n_initial,n_excluded,n,design,design_note,presentation,framing,source,a,b,c,d,pEC,PE_noC,deltaP,power,pC,pE,w_deltaP,Pearce,HPN,support_noisy_or,spport_noisy_and_not,EI,RW,rating,question,scale,anchors,reference,note,comments,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,8,8,12,12,,,0,,.4,,,,,,,,,-2.17,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,12,12,8,8,,,0,,.6,,,,,,,,,14.5,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,16,16,4,4,,,0,,.8,,,,,,,,,10.14,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,2,6,8,24,,,0,,.2,,,,,,,,,-19.43,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,4,12,6,18,,,0,,.4,,,,,,,,,-11.64,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,6,18,4,12,,,0,,.6,,,,,,,,,-23.19,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,8,24,2,6,,,0,,.8,,,,,,,,,-34.57,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,1,7,4,28,,,0,,.2,,,,,,,,,-16.79,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,2,14,3,21,,,0,,.4,,,,,,,,,-22.64,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,3,21,2,14,,,0,,.6,,,,,,,,,-34.95,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),1,44,2,42,within-subjects,"Three separate experimental designs were used. In each design, p(C) was varied across four values: 0.2, 0.4, 0.6, and 0.8. In the design with ΔP = 0.75, a/(a + b) was varied across two values: 1.0 and 0.75. In the design with ΔP = 0.5, a/(a + b) was varied across three values: 1.0, 0.75, and 0.5. In the design with ΔP = 0, a/(a + b) was varied across five values: 0.875, 0.75, 0.5, 0.25 and 0.125. The number of evaluation tasks in the respective designs was 8, 12, and 20, total of 40 tasks.",simultaneous,bidirectional,Table 4,4,28,1,7,,,0,,.8,,,,,,,,,-43.48,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,6,2,0,32,,,.75,,.2,,,,,,,,,68.36,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,6,2,8,24,,,.50,,.2,,,,,,,,,22.81,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,6,2,16,16,,,.25,,.2,,,,,,,,,13.14,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,6,2,24,8,,,.00,,.2,,,,,,,,,-10.55,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,6,2,32,0,,,-.25,,.2,,,,,,,,,-34.07,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,15,5,0,20,,,.75,,.5,,,,,,,,,63.02,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,15,5,5,15,,,.50,,.5,,,,,,,,,52.14,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,15,5,10,10,,,.25,,.5,,,,,,,,,28.81,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,15,5,15,5,,,.00,,.5,,,,,,,,,6.79,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,15,5,20,0,,,- .25,,.5,,,,,,,,,-1.74,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,24,8,0,8,,,.75,,.8,,,,,,,,,65.62,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,24,8,2,6,,,.50,,.8,,,,,,,,,54.36,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,24,8,4,4,,,.25,,.8,,,,,,,,,44.79,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,24,8,6,2,,,.00,,.8,,,,,,,,,39.29,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 10,24,8,8,0,,,- .25,,.8,,,,,,,,,7.12,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,4,4,0,32,,,.50,,.2,,,,,,,,,42.71,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,4,4,8,24,,,.25,,.2,,,,,,,,,13.64,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
White (2004),2,,,42,within-subjects,"Three separate experimental designs, each for a different value of a/(a + b). In each design, p(C) was varied across three values: 0.2, 0.5, and 0.8. In the design with a/(a + b) = 0.75, ΔP was varied across five values: -0.75, -0.5, -0.25, 0, and +0.25. In the design with a/(a + b) = 0.5, ΔP was varied across five values: -0.5, -0.25, 0, +0.25, and +0.5. In the design with a/(a + b) = 0.25, ΔP was varied across five values: -0.25, 0, +0.25, +0.5, and +0.75. The number of evaluation tasks was 15 in each design, total of 45.",simultaneous,bidirectional,Table 11,4,4,16,16,,,.00,,.2,,,,,,,,,-2.9,“To what extent did this chemical affect the occurrence of red spots in the brunnera plants?”,-100- +100',- 100 = the chemical very strongly prevented the plants from having red spots; 0 = the chemical had no effect either way; + 100 means that the chemical very strongly caused the plants to have red spots,"White, P.A. (2004). Causal judgment from contingency information: A systematic test of the pCI rule. Memory & Cognition 32, 353–368. https://doi.org/10.3758/BF03195830",,,
