study,experiment,condition,n,design,design_note,presentation,framing,source,N_00,N_01,N_10,N_11,pEC,pEnoC,deltaP,power,actual_sample_size,virtual_sample_size,virtual_sample_size_level,published_deltaP,weighted_deltaP,rating,rating_SD,initial_confidence,initial_confidence_SD,final_confidence,final_confidence_SD,confidence,confidence_SD,question,scale,anchors,reference,note
Liljeholm & Cheng (2009),2,E2_P_pow0p25_Ss16_Vss16,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 2,0,16,4,12,0.75,1,-0.25,0.25,16,16,large,-0.25,0.15,19.05,14.91,,,,,62.32,30.44,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_G_pow0p25_Ss64_Vss16,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 2,16,48,12,52,0.8125,0.75,0.0625,0.25,64,16,small,0.06,0.36,11.74,10.36,,,,,59.21,25.78,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_P_pow0p25_Ss64_Vss16,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 2,48,16,52,12,0.1875,0.25,-0.0625,0.25,64,16,small,-0.06,0.04,14,13.91,,,,,62.26,32.7,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_G_pow0p25_Ss64_Vss48,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 2,48,16,36,28,0.4375,0.25,0.1875,0.25,64,48,medium,0.19,0.29,24.68,19.02,,,,,61.58,21.8,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_P_pow0p25_Ss64_Vss48,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 2,16,48,28,36,0.5625,0.75,-0.1875,0.25,64,48,medium,-0.19,0.11,21.11,12.5,,,,,60.53,26.65,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_G_pow0p25_Ss64_Vss64,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 2,64,0,48,16,0.25,0,0.25,0.25,64,64,large,0.25,0.25,22.89,9.47,,,,,76.05,16.21,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_P_pow0p25_Ss64_Vss64,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 2,0,64,16,48,0.75,1,-0.25,0.25,64,64,large,-0.25,0.15,23.05,11.69,,,,,69.47,22.04,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_G_pow1_Ss16_Vss4,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 2,4,12,0,16,1,0.75,0.25,1,16,4,small,0.25,0.55,45.26,40.94,,,,,57.11,22.19,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_P_pow1_Ss16_Vss4,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 2,12,4,16,0,0,0.25,-0.25,1,16,4,small,-0.25,-0.15,64.47,36.21,,,,,70.79,32.41,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_G_pow1_Ss16_Vss12,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 2,12,4,0,16,1,0.25,0.75,1,16,12,medium,0.75,0.85,80.53,23.8,,,,,73.68,18.84,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_P_pow1_Ss16_Vss12,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 2,4,12,16,0,0,0.75,-0.75,1,16,12,medium,-0.75,-0.45,82.11,20.16,,,,,75.79,23.76,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_G_pow1_Ss16_Vss16,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 2,16,0,0,16,1,0,1,1,16,16,large,1,1,97.37,7.33,,,,,86.68,10.46,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_P_pow1_Ss16_Vss16,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 2,0,16,16,0,0,1,-1,1,16,16,large,-1,-0.6,93.68,12.89,,,,,83.05,17.84,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_G_pow1_Ss64_Vss16,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 2,16,48,0,64,1,0.75,0.25,1,64,16,small,0.25,0.55,56.05,34.86,,,,,62.89,22.07,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_P_pow1_Ss64_Vss16,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 2,48,16,64,0,0,0.25,-0.25,1,64,16,small,-0.25,-0.15,79.74,31.47,,,,,74.47,20.06,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_G_pow1_Ss64_Vss48,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 2,48,16,0,64,1,0.25,0.75,1,64,48,medium,0.75,0.85,92.11,12.17,,,,,82.47,9.44,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_P_pow1_Ss64_Vss48,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 2,16,48,64,0,0,0.75,-0.75,1,64,48,medium,-0.75,-0.45,96.05,8.09,,,,,84.21,13.46,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_G_pow1_Ss64_Vss64,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,generative,Table 2,64,0,0,64,1,0,1,1,64,64,large,1,1,100,0,,,,,95.11,7.26,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
Liljeholm & Cheng (2009),2,E2_P_pow1_Ss64_Vss64,38,mixed,causal direction between-subjects; all other factors within-subjects,simultaneous graphical before/after display,preventive,Table 2,0,64,64,0,0,1,-1,1,64,64,large,-1,-0.6,98.63,4.66,,,,,94.42,15.96,"Same causal-strength question as Experiment 1, but the initial usefulness/confidence questions were omitted. Post-rating confidence question: How confident are you in response to Question 1?",0Ð100 frequency estimate for strength; 0Ð100 confidence scale,"strength: no-influence option or count out of 100; confidence: 0 = not at all confident, 100 = extremely confident","Liljeholm, M., & Cheng, P. W. (2009). The influence of virtual sample size on confidence and causal-strength judgments. Journal of Experimental Psychology: Learning, Memory, and Cognition, 35(1), 157Ð172. https://doi.org/10.1037/a0013972",Cause-absent cells are the before condition; cause-present cells are the after condition. Published _P is rounded to two decimals.
